id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20365318,Chez Ina & Jasee（欢乐里.胖松家.loft）,143501938,松,,密云县 / Miyun,40.687861099781806,117.15225412316529,Private room,368,1,13,2019-09-22,0.25,5,89,0,
20381566,⚡️九眼楼长城|高级大床房1|含早晚餐|户外烧烤|垂钓,145343517,终于见到你,,怀柔区 / Huairou,40.54891,116.53336,Private room,1380,1,4,2019-08-25,0.12,7,95,0,
20402240,国奥乡居箭扣蜜家，慕田峪，箭扣，水长城，红螺寺，圣泉山，独卫带空调 可做饭可烧烤和火锅 可住2个成人,143674767,陈,,怀柔区 / Huairou,40.41886,116.46794,Private room,588,1,1,2021-03-27,0.11,3,364,1,
20402320,国奥乡居箭扣蜜家 慕田峪，箭扣，水长城，红螺寺，圣泉山，独卫带空调  可做饭可烧烤和火锅，可住4成人,143674767,陈,,怀柔区 / Huairou,40.43089,116.53819,Private room,688,1,12,2021-06-26,0.23,3,364,1,
20443515,怀柔慕田峪红螺寺 整院出租 北京升旗达文化,145908264,鑫,,怀柔区 / Huairou,40.39003,116.52348,Entire home/apt,3150,1,7,2021-05-03,0.16,1,0,1,
20547206,慕田峪-长城山寨（双大床）,146724852,桐浩,,怀柔区 / Huairou,40.43154,116.56043,Private room,402,1,34,2021-07-24,0.65,4,63,3,
20669870,灵山小苗家 二层独院别墅 8室2厅,147608108,秀蕾,,门头沟区 / Mentougou,39.99347,115.48415,Entire home/apt,3680,1,5,2021-08-27,0.11,1,365,2,
20704520,长城脚下家春秋四合院Greatwall Courtyard,25253071,Kathy,,怀柔区 / Huairou,40.43311,116.43672,Entire home/apt,1509,2,14,2021-04-25,0.27,2,214,1,
20789479,茶马古道上的那家客栈（长城脚下、青龙峽、雁栖湖附近民宿）,149025721,冯瑞华,,怀柔区 / Huairou,40.43560233931974,116.67224161839522,Entire home/apt,3000,1,0,,,2,363,0,
20804236,【不是整租/不接待男生/家有猫】双井地铁步行200米/一站抵达国贸CBD/三里屯/优士阁/轻复古公寓,149168920,葵,,朝阳区 / Chaoyang,39.89253,116.45827,Private room,314,2,112,2021-12-06,3.30,1,151,30,
20807656,前门天坛市中心带小院瑞洁酒店公寓 您在北京的家,105643172,Li,,东城区,39.88159,116.39718,Private room,438,1,7,2021-05-10,0.14,3,0,3,
